id,house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
3615,"3 BHK Flat for Rent in Yelahanka, Bangalore",Yelahanka,Bangalore,1050,3,3,2,Furnished,48,50000
3616,1 BHK House for Rent in Mahadevapura Bangalore,Mahadevapura,Bangalore,200,1,1,0,Semi-Furnished,50,10000
3617,2 BHK House for Rent in Somnath Nagar Wadgaon Sheri Pune,Somnath Nagar,Pune,850,2,2,0,Semi-Furnished,20,17000
3618,"1 BHK House for Rent in Sarita Vihar, Mathura Road New Delhi",Sarita Vihar,New Delhi,150,1,1,0,Unfurnished,33,5000
3619,"3 BHK Flat for Rent in Oberoi Sky City, Borivali East, Mumbai",Borivali East,Mumbai,1100,3,3,0,Semi-Furnished,100,110000
3620,1 BHK House for Rent in Rajouri Garden New Delhi,Rajouri Garden,New Delhi,450,1,1,0,Furnished,47,21000
3621,"4 BHK Flat for Rent in Stage 2nd Rajajinagar, Bangalore",Rajajinagar Stage 2,Bangalore,2200,4,5,3,Semi-Furnished,102,230000
3622,"1 BHK Flat for Rent in Dahisar East, Mumbai",Dahisar East,Mumbai,275,1,1,0,Unfurnished,51,14000
3623,"3 BHK Flat for Rent in Bhandari Savannah, Wagholi, Pune",Wagholi,Pune,1100,3,3,0,Unfurnished,20,22000
3624,"2 BHK Flat for Rent in Kadugodi, Bangalore",Kadugodi,Bangalore,1095,2,2,2,Semi-Furnished,23,25000
3625,"1 BHK Flat for Rent in Kotwal Nagar, Nagpur",Kotwal Nagar,Nagpur,500,1,1,0,Unfurnished,26,13000
3626,"2 BHK Flat for Rent in Greenstone Heritage, Fort, Mumbai",Fort,Mumbai,800,2,2,0,Unfurnished,125,100000
3627,"3 BHK Flat for Rent in Halasuru, Bangalore",Halasuru,Bangalore,1455,3,3,2,Semi-Furnished,86,130000
3628,"2 BHK Flat for Rent in Runwal Elina, Andheri East, Mumbai",Andheri East,Mumbai,1035,2,2,0,Semi-Furnished,58,60000
3629,"3 BHK Flat for Rent in Chittaranjan Park, New Delhi",Chittaranjan Park,New Delhi,1400,3,3,2,Unfurnished,50,70000
3630,"2 BHK Flat for Rent in Shakarpur, New Delhi",Shakarpur,New Delhi,585,2,1,2,Unfurnished,24,14000
3631,"3 BHK Flat for Rent in Wadhwa The Address, Ghatkopar West, Mumbai",Ghatkopar West,Mumbai,1326,3,3,2,Unfurnished,98,130000
3632,"3 BHK Flat for Rent in Pedder Road, Mumbai",Pedder Road,Mumbai,1200,3,3,0,Furnished,188,230000
3633,"2 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bangalore,1270,2,2,2,Semi-Furnished,28,35000
3634,2 BHK House for Rent in Shalimar bagh New Delhi,Shalimar bagh,New Delhi,800,2,1,0,Unfurnished,29,23000
3635,"2 BHK Flat for Rent in Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune",Hinjewadi Rajiv Gandhi Infotech Park,Pune,1000,2,2,2,Furnished,30,30000
3636,"2 BHK Flat for Rent in Madhav Nagar, Dhanori, Pune",Madhav Nagar,Pune,930,2,2,2,Furnished,32,30000
3637,"2 BHK Flat for Rent in Hingna Road, Nagpur",Hingna Road,Nagpur,750,2,2,0,Semi-Furnished,16,12000
3638,"2 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bangalore,675,2,2,2,Semi-Furnished,39,26000
3639,"2 BHK Flat for Rent in Sainik Farm, New Delhi",Sainik Farm,New Delhi,594,2,2,0,Furnished,50.55555555555556,30000
3640,"1 BHK Flat for Rent in Burari, New Delhi",Burari,New Delhi,700,1,1,0,Semi-Furnished,11,8000
3641,"2 BHK Flat for Rent in Shantiban, Vishrantwadi, Airport Road, Pune",Vishrantwadi,Pune,870,2,2,0,Semi-Furnished,23,20000
3642,"3 BHK Flat for Rent in SV Om Heights, Dadar, Mumbai",Dadar,Mumbai,1450,3,3,3,Unfurnished,138,200000
3643,"1 BHK Flat for Rent in Porwal Tower, Mira Road Area, Mumbai",Mira Road,Mumbai,400,1,2,3,Unfurnished,59,23700
3644,"3 BHK Flat for Rent in Runwal Greens, Mulund West, Mumbai",Mulund West,Mumbai,1100,3,3,4,Semi-Furnished,84,92500
3645,"2 BHK Flat for Rent in Megapolis Serenity, Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, Pune",Hinjewadi Phase 3,Pune,700,2,2,0,Semi-Furnished,36,25000
3646,"2 BHK Flat for Rent in Vaiduwadi Gokhalenagar, Pune",Vaiduwadi,Pune,650,2,2,0,Furnished,26,17000
3647,"1 BHK Flat for Rent in Safdarjung Enclave, New Delhi",Safdarjung Enclave,New Delhi,700,1,2,0,Furnished,64,45000
3648,1 BHK House for Rent in Vagdevi Layout Bangalore,Vagdevi Layout,Bangalore,420,1,1,0,Semi-Furnished,43,18000
3649,"3 BHK Flat for Rent in Runwal Greens, Mulund West, Mumbai",Mulund West,Mumbai,1095,3,3,3,Furnished,73,80000
3650,2 BHK House for Rent in Old Govindpura New Delhi,Old Govindpura,New Delhi,405,2,1,0,Unfurnished,20,8000
3651,"2 BHK Flat for Rent in Wilson Garden, Bangalore",Wilson Garden,Bangalore,1200,2,2,0,Unfurnished,41,49000
3652,"3 BHK Flat for Rent in Bilekahalli, Bangalore",Bilekahalli,Bangalore,1100,3,2,0,Semi-Furnished,45,50000
3653,4 BHK Villa for Rent in Kodichikknahalli Seenappa Layout Bommanahalli Bangalore,Kodichikknahalli,Bangalore,3100,4,4,0,Furnished,26,80000
3654,"2 BHK Flat for Rent in Amanora Ascent Avenue, Hadapsar, Pune",Hadapsar,Pune,680,2,2,2,Unfurnished,51,35000
3655,"4 BHK Flat for Rent in Rohan 1 Modibaug, Shivajinagar, Pune",Shivajinagar,Pune,2400,4,3,3,Unfurnished,75,180000
3656,"1 BHK Flat for Rent in Earth View, Girgaon, Mumbai",Girgaon,Mumbai,550,1,2,0,Furnished,82,45000
3657,"1 BHK Flat for Rent in Riverdale Suites, Kharadi, Pune",Kharadi,Pune,340,1,1,0,Semi-Furnished,68,23000
3658,"3 BHK Flat for Rent in Old Madras Road, Bangalore",Old Madras Road,Bangalore,1150,3,3,2,Semi-Furnished,39,45000
3659,"3 BHK Flat for Rent in Varthur, Bangalore",Varthur,Bangalore,2750,3,3,3,Unfurnished,36,100000
3660,"5 BHK Flat for Rent in Rustomjee Crown, Prabhadevi, Mumbai",Prabhadevi,Mumbai,3042,5,5,0,Semi-Furnished,247,750000
3661,"2 BHK Flat for Rent in Mayur Vihar 1, New Delhi",Mayur Vihar 1,New Delhi,900,2,2,2,Semi-Furnished,37,33000
3662,"4 BHK Flat for Rent in Dharamkunj Apartment, Sector 9 Rohini, New Delhi",Sector 9 Rohini,New Delhi,1600,4,3,0,Semi-Furnished,31,50000
3663,1 BHK House for Rent in Mohammadpur Majri New Delhi,Mohammadpur Majri,New Delhi,1000,1,1,0,Unfurnished,6,6000
3664,"2 BHK Flat for Rent in Koramangala, Bangalore",Koramangala,Bangalore,900,2,2,0,Semi-Furnished,33,30000
3665,"2 BHK Flat for Rent in Nanded City, Sinhgad Road, Pune",Sinhgad Road,Pune,800,2,2,2,Furnished,28,22000
3666,"3 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,1253,3,2,0,Furnished,52,65000
3667,4 BHK Villa for Rent in Nandi Hills Bangalore,Nandi Hills,Bangalore,7900,4,5,2,Furnished,61,480000
3668,"1 BHK House for Rent in Anjanadri Layout, Konanakunte Bangalore",Anjanadri Layout,Bangalore,350,1,1,0,Semi-Furnished,29,10000
3669,"2 BHK Flat for Rent in Joyville Hinjawadi, Hinjawadi, Pune",Hinjewadi,Pune,636,2,2,0,Semi-Furnished,39,25000
3670,"1 BHK Flat for Rent in Viman Nagar, Pune",Viman Nagar Central,Pune,250,1,2,0,Furnished,72,18000
3671,"3 BHK Flat for Rent in Lokhandwala Minerva, Mahalakshmi, Mumbai",Mahalakshmi,Mumbai,2002,3,3,0,Furnished,187,380000
3672,"3 BHK Flat for Rent in Oberoi Gardens, Kandivali East, Mumbai",Kandivali East,Mumbai,1295,3,3,0,Unfurnished,62,80000
3673,"2 BHK Flat for Rent in Tirupati Vatika, Bhayandar East, Mumbai",Bhayandar East,Mumbai,900,2,2,0,Unfurnished,21,18500
3674,"2 BHK Flat for Rent in East End Apartments, Mayur Vihar 1, New Delhi",Mayur Vihar 1,New Delhi,1176,2,2,0,Semi-Furnished,28,33000
3675,"3 BHK House for Rent in Venkatesh Sharvil, Dhayari Phata, Dhayari Pune",Dhayari Phata,Pune,850,3,3,3,Semi-Furnished,31,26000
3676,"2 BHK Flat for Rent in Jivan Park Rani Bagh, New Delhi",Jivan Park Rani Bagh,New Delhi,630,2,1,0,Unfurnished,17,10500
3677,"3 BHK Flat for Rent in Yashwin Orizzonte, Kharadi, Pune",Kharadi,Pune,900,3,3,2,Semi-Furnished,49,44000
3678,"1 BHK Flat for Rent in Govindpuri, New Delhi",Govindpuri,New Delhi,450,1,1,0,Unfurnished,22,10000
3679,"2 BHK Flat for Rent in Thanisandra, Bangalore",Thanisandra,Bangalore,627,2,2,3,Semi-Furnished,56,35000
3680,"2 BHK Flat for Rent in Mira Bhayandar, Mumbai",Mira Bhayandar,Mumbai,650,2,2,0,Semi-Furnished,25,16000
3681,"3 BHK Flat for Rent in Mira Road Area, Mumbai",Mira Road,Mumbai,1800,3,3,0,Unfurnished,139,250000
3682,"3 BHK Flat for Rent in Hubtown Premiere Residences, Andheri West, Mumbai",Andheri West,Mumbai,930,3,2,0,Unfurnished,124,120000
3683,2 BHK House for Rent in Kasturi Nagar Bangalore,Kasturi Nagar,Bangalore,800,2,2,0,Semi-Furnished,26,21000
3684,"2 BHK Flat for Rent in Nyati Empire, Kharadi, Pune",Kharadi,Pune,1050,2,2,2,Semi-Furnished,35,37000
3685,"1 BHK Flat for Rent in Borivali East, Mumbai",Borivali East,Mumbai,430,1,1,0,Semi-Furnished,58,25000
3686,"2 BHK Flat for Rent in Hinjawadi, Pune",Hinjewadi,Pune,895,2,2,0,Unfurnished,22,20000
3687,"1 BHK Flat for Rent in Dwarka Greens, Najafgarh, New Delhi",Najafgarh,New Delhi,550,1,1,0,Semi-Furnished,33,18000
3688,"3 BHK Flat for Rent in MR Society, Mumbai",MR Society,Mumbai,750,3,2,0,Semi-Furnished,29,22000
3689,"3 BHK Flat for Rent in Gera Emerald City North, EON Free Zone, Kharadi, Pune",EON Free Zone,Pune,1300,3,3,2,Furnished,37,48000
3690,"1 BHK Flat for Rent in Vasanth Nagar, Bangalore",Vasanth Nagar,Bangalore,400,1,1,0,Unfurnished,39,15500
3691,"3 BHK Flat for Rent in Sakkardara, Nagpur",Sakkardara,Nagpur,1200,3,3,4,Unfurnished,10,12000
3692,"1 BHK Flat for Rent in Sethia Imperial Avenue, Malad East, Mumbai",Malad East,Mumbai,350,1,2,0,Unfurnished,120,42000
3693,"2 BHK Flat for Rent in Ameya Apartment, Chembur, Mumbai",Chembur,Mumbai,500,2,2,0,Semi-Furnished,90,45000
3694,"2 BHK Flat for Rent in Kurla East, Mumbai",Kurla East,Mumbai,570,2,2,0,Unfurnished,88,50000
3695,"2 BHK Flat for Rent in Trimurti Krupa Apartment, Vile Parle East, Mumbai",Vile Parle East,Mumbai,876,2,2,0,Semi-Furnished,126,110000
3696,3 BHK Villa for Rent in Sarjapura Bangalore,Sarjapur,Bangalore,1750,3,3,0,Semi-Furnished,18,32000
3697,"1 BHK Flat for Rent in Papareddipalya, Bangalore",Papareddipalya,Bangalore,600,1,1,0,Unfurnished,12,7500
3698,"4 BHK Flat for Rent in Oberoi Esquire, Goregaon East, Mumbai",Goregaon East,Mumbai,2053,4,5,2,Semi-Furnished,161,330000
3699,"2 BHK Flat for Rent in Silver Oak Layout, J P Nagar, Bangalore",Silver Oak Layout,Bangalore,1200,2,2,3,Semi-Furnished,28,33000
3700,"1 BHK Flat for Rent in ITrend Homes, Hinjawadi, Pune",Hinjewadi,Pune,650,1,2,0,Furnished,23,15000
3701,"1 BHK Flat for Rent in Geeta Nagar Mira Road East, Mumbai",Geeta Nagar Mira Road East,Mumbai,510,1,1,0,Unfurnished,26,13500
3702,4 BHK Villa for Rent in Indiranagar Bangalore,Indira Nagar,Bangalore,4541,4,5,4,Unfurnished,61,280000
3703,"1 BHK Flat for Rent in JCD Park Society Yerwada Pune, Commerzone IT Park, Yerawada, Airport Road, Pune",Commerzone IT Park,Pune,630,1,1,2,Unfurnished,24,15000
3704,"2 BHK Flat for Rent in LBS Road, Mumbai",LBS Road,Mumbai,748,2,2,0,Semi-Furnished,56,42000
3705,"3 BHK Flat for Rent in Shree Ganesh Apartments, Patparganj, New Delhi",Patparganj,New Delhi,1400,3,3,2,Semi-Furnished,36,50000
3706,"4 BHK Flat for Rent in Mahadevapura, Bangalore",Mahadevapura,Bangalore,2000,4,3,4,Semi-Furnished,42,85000
3707,"1 BHK Flat for Rent in Warje, Pune",Warje,Pune,510,1,1,0,Semi-Furnished,31,16000
3708,"1 BHK Flat for Rent in Ashwini Layout, Ejipura, Bangalore",Ashwini layout,Bangalore,450,1,1,2,Semi-Furnished,29,13000
3709,"2 BHK Flat for Rent in Varthur, Bangalore",Varthur,Bangalore,1242,2,2,0,Semi-Furnished,36,45000
3710,"2 BHK Flat for Rent in East Patel Nagar, New Delhi",Patel Nagar East,New Delhi,700,2,2,0,Semi-Furnished,20,14000
3711,"2 BHK Flat for Rent in Sunteck Naigaon, Naigaon East, Mumbai",Naigaon East,Mumbai,500,2,2,4,Unfurnished,32,16000
3712,"3 BHK Flat for Rent in Kamla Nagar, New Delhi",Kamla Nagar,New Delhi,1000,3,1,0,Semi-Furnished,25,25000
3713,1 BHK House for Rent in Chittaranjan Park New Delhi,Chittaranjan Park,New Delhi,500,1,1,0,Unfurnished,37,18500
3714,"3 BHK Flat for Rent in Defence Colony, New Delhi",Defence Colony,New Delhi,2500,3,3,2,Furnished,110,280000
3715,1 BHK House for Rent in Jhilmil Colony New Delhi,Jhilmil Colony,New Delhi,360,1,1,0,Unfurnished,28,10000
3716,"8 BHK Villa for Rent in Kundalahalli, Brookefield Bangalore",Kundalahalli,Bangalore,3000,8,8,5,Semi-Furnished,42,130000
3717,2 BHK House for Rent in Kodathi Bangalore,Kodathi,Bangalore,700,2,1,0,Semi-Furnished,23,16000
3718,"2 BHK Flat for Rent in Vijayanagar, Bangalore",Vijayanagar,Bangalore,800,2,1,2,Unfurnished,25,20000
3719,2 BHK House for Rent in Mulund West Mumbai,Mulund West,Mumbai,560,2,1,0,Unfurnished,48,27000
3720,"1 BHK Flat for Rent in Venture City, Moshi, Pune",Moshi,Pune,455,1,1,0,Semi-Furnished,26,12000
3721,3 BHK House for Rent in Basaveshwar Nagar Bangalore,Basaveshwar Nagar,Bangalore,1200,3,2,0,Semi-Furnished,15,18000
3722,"4 BHK Flat for Rent in Itpl, Whitefield, Bangalore",ITPL,Bangalore,2750,4,3,3,Semi-Furnished,36,100000
3723,"1 BHK Flat for Rent in Sector 5 Rohini, New Delhi",Sector 5 Rohini,New Delhi,700,1,1,0,Semi-Furnished,31,22000
3724,"2 BHK Flat for Rent in Mittal Petals, Wakad, Pune",Wakad,Pune,820,2,2,2,Furnished,37,30000
3725,"3 BHK Flat for Rent in Block J Saket, New Delhi",J Block Saket,New Delhi,1600,3,3,2,Semi-Furnished,47,75000
3726,"2 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bangalore,910,2,2,0,Semi-Furnished,18,16000
3727,"4 BHK Flat for Rent in Ajmera Aeon, Bhakti Park, Mumbai",Bhakti Park,Mumbai,1881,4,4,0,Semi-Furnished,173,330000
3728,"1 BHK Flat for Rent in Dahisar East, Mumbai",Dahisar East,Mumbai,375,1,1,0,Semi-Furnished,45,17000
3729,"3 BHK Flat for Rent in Murgesh Pallya, Bangalore",Murugeshpalya,Bangalore,1800,3,3,3,Semi-Furnished,50,90000
3730,"3 BHK Flat for Rent in Empire City, Bel Tarodi, Nagpur",Bel Tarodi,Nagpur,1800,3,3,3,Unfurnished,13,23000
3731,"3 BHK Flat for Rent in Rayasandra Main Road, Bangalore",Rayasandra Main Road,Bangalore,1400,3,3,0,Semi-Furnished,31,43000
3732,"3 BHK Flat for Rent in Aakriti Apartment, Sector 4 Dwarka, New Delhi",Sector 4 Dwarka,New Delhi,1400,3,3,3,Unfurnished,21,30000
3733,"1 BHK Flat for Rent in Mayur Kunj, New Delhi",Mayur Kunj,New Delhi,650,1,2,0,Semi-Furnished,32,21000
3734,4 BHK Villa for Rent in Vittasandra Main Road Bangalore,Vittasandra Main Road,Bangalore,1200,4,3,0,Semi-Furnished,33,40000
3735,2 BHK House for Rent in Lashkari Bagh Nagpur,Lashkari Bagh,Nagpur,800,2,2,0,Unfurnished,12,10000
3736,"2 BHK Flat for Rent in Green Fields, Andheri East, Mumbai",Andheri East,Mumbai,800,2,2,0,Semi-Furnished,69,55000
3737,"3 BHK Flat for Rent in Vasundhara Enclave, New Delhi",Vasundhara Enclave,New Delhi,1400,3,3,4,Semi-Furnished,29,40000
3738,"2 BHK Flat for Rent in Rushabh Tower, Sewri, Mumbai",Sewri,Mumbai,1200,2,2,0,Semi-Furnished,100,120000
3739,"2 BHK Flat for Rent in Koregaon Park, Koregaon Park, Pune",Koregaon Park,Pune,800,2,2,0,Furnished,81,65000
3740,"2 BHK Flat for Rent in Panathur, Bangalore",Panathur,Bangalore,1231,2,2,2,Furnished,32,40000
3741,"2 BHK Flat for Rent in Phase 1 Electronics City, Bangalore",Electronics City Phase 1,Bangalore,1000,2,2,2,Unfurnished,27,27000
3742,"1 BHK Flat for Rent in New Patel Nagar, Shadipur, New Delhi",New Patel Nagar,New Delhi,410,1,1,0,Furnished,49,20000
3743,"2 BHK Flat for Rent in Sector 5 Rohini, New Delhi",Sector 5 Rohini,New Delhi,52,2,2,0,Furnished,481,25000
3744,"3 BHK Flat for Rent in Oakland Park, Andheri West, Mumbai",Andheri West,Mumbai,1405,3,3,0,Unfurnished,71,100000
3745,"1 BHK Flat for Rent in Devli Khanpur, Khanpur, Madangir, New Delhi",Khanpur,New Delhi,200,1,1,0,Unfurnished,50,10000
3746,"3 BHK House for Rent in Om Balaji Darshan, Hadapsar Gaon, Hadapsar Pune",Hadapsar Gaon,Pune,1300,3,3,2,Furnished,32,42000
3747,"2 BHK Flat for Rent in Madhu Pushpa, Wakad, Pune",Wakad,Pune,930,2,2,2,Furnished,33,31000
3748,"2 BHK Flat for Rent in Rohan Ananta, Tathawade Pimpri Chinchwad, Pune",Tathawade,Pune,700,2,2,2,Unfurnished,33,23000
3749,"3 BHK Flat for Rent in Janakpuri, New Delhi",Janakpuri,New Delhi,19,3,3,2,Furnished,38,75000
3750,"2 BHK Flat for Rent in Chembur, Mumbai",Chembur,Mumbai,625,2,2,2,Furnished,104,65000
3751,1 BHK House for Rent in Hennur Gardens Bangalore,Hennur,Bangalore,400,1,1,0,Semi-Furnished,30,12000
3752,3 BHK House for Rent in Suyog Nagar Nagpur,Suyog Nagar,Nagpur,1100,3,4,2,Unfurnished,23,25000
3753,"3 BHK Flat for Rent in Panchshil Towers, EON Free Zone, Kharadi, Pune",EON Free Zone,Pune,2100,3,3,3,Unfurnished,48,100000
3754,"1 BHK Flat for Rent in Vidarbha IT Park, Trimurti Nagar, Nagpur",Trimurti Nagar,Nagpur,1007,1,1,2,Furnished,10,10000
3755,"3 BHK Flat for Rent in Dwarka Mor, New Delhi",Dwarka Mor,New Delhi,1500,3,2,0,Unfurnished,17,25000
3756,"3 BHK Flat for Rent in Bandra West, Mumbai",Bandra West,Mumbai,1100,3,3,0,Furnished,150,170000
3757,"1 BHK Flat for Rent in The Empyrean Grande Amity Apartments, Kotewada, Nagpur",Kotewada,Nagpur,395,1,1,0,Unfurnished,13,5000
3758,"3 BHK Flat for Rent in The Empyrean, Mihan, Nagpur",Mihan,Nagpur,1500,3,2,0,Unfurnished,13,20000
3759,"3 BHK Flat for Rent in VTP Belair, Mahalunge, Pune",Mahalunge,Pune,960,3,2,2,Unfurnished,27,26000
3760,"1 BHK Flat for Rent in Basai Dara pur, New Delhi",Basai Darapur,New Delhi,270,1,1,0,Semi-Furnished,41,11000
3761,"1 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bangalore,550,1,1,0,Semi-Furnished,24,13000
3762,"3 BHK Flat for Rent in Thanisandra, Bangalore",Thanisandra,Bangalore,1200,3,2,0,Semi-Furnished,29,35000
3763,"1 BHK Flat for Rent in Kengeri Satellite Town, Bangalore",Kengeri Satellite Town,Bangalore,550,1,1,0,Semi-Furnished,10,5500
3764,1 BHK House for Rent in Marathahalli Bangalore,Marathahalli,Bangalore,5,1,1,0,Unfurnished,2100,10500
3765,"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bangalore,1445,3,3,3,Semi-Furnished,30,43000
3766,"2 BHK Flat for Rent in Handewadi, Pune",Handewadi,Pune,850,2,2,2,Semi-Furnished,16,14000
3767,"1 BHK Flat for Rent in Camp, Pune",Camp,Pune,560,1,1,0,Furnished,41,23000
3768,"3 BHK Flat for Rent in Thanisandra, Bangalore",Thanisandra,Bangalore,1200,3,3,0,Semi-Furnished,47,56000
3769,2 BHK House for Rent in Horamavu Main Road Bangalore,Horamavu Main Road,Bangalore,950,2,2,0,Unfurnished,30,28500
3770,"4 BHK Flat for Rent in Santacruz West, Mumbai",Santacruz West,Mumbai,4200,4,4,0,Semi-Furnished,196,830000.0000000001
3771,"2 BHK Flat for Rent in Wathoda, Nagpur",Wathoda,Nagpur,960,2,2,0,Unfurnished,7,7000
3772,"1 BHK Flat for Rent in Thergaon, Pimpri Chinchwad, Pune",Thergaon,Pune,375,1,1,0,Unfurnished,32,12000
3773,"2 BHK Flat for Rent in Amarjyoti Layout, Bangalore",Amarjyoti Layout-Domlur,Bangalore,1100,2,2,0,Furnished,44,48000
3774,1 BHK House for Rent in Basapura Bangalore,Basapura,Bangalore,550,1,1,0,Semi-Furnished,25,14000
3775,"1 BHK Flat for Rent in Virar West, Mumbai",Virar West,Mumbai,330,1,1,0,Unfurnished,18,6000
3776,"3 BHK Flat for Rent in Rizvi Utopia, Kolivery Village, Mumbai",Kolivery Village,Mumbai,1008,3,3,2,Unfurnished,84,85000
3777,"1 BHK Flat for Rent in Vishrantwadi, Airport Road, Pune",Vishrantwadi,Pune,580,1,1,0,Unfurnished,28,16000
3778,1 BHK House for Rent in Madavara Bangalore,Madavara,Bangalore,560,1,1,0,Semi-Furnished,11,6000
3779,1 BHK House for Rent in Pandav Nagar New Delhi,Pandav Nagar,New Delhi,540,1,1,0,Unfurnished,11,6000
3780,2 BHK House for Rent in Najafgarh New Delhi,Najafgarh,New Delhi,450,2,1,0,Semi-Furnished,13,6000
3781,"2 BHK Flat for Rent in Hill View Apartments, Dabha, Nagpur",Dabha,Nagpur,1000,2,2,5,Unfurnished,11,11000
3782,"2 BHK Flat for Rent in Geras Song Of Joy Geras Greenville , EON Free Zone, Kharadi, Pune",EON Free Zone,Pune,1000,2,2,2,Semi-Furnished,37,37000
3783,"3 BHK Flat for Rent in Hauz Khas Apartments, Green Park, New Delhi",Green Park,New Delhi,1700,3,3,3,Semi-Furnished,59,100000
3784,"2 BHK Flat for Rent in Hill View, Shree Siddhivinayak Meera, Undri, Pune",Shree Siddhivinayak Meera,Pune,905,2,2,2,Semi-Furnished,12,10500
3785,"2 BHK Flat for Rent in Marathahalli, Bangalore",Marathahalli,Bangalore,1365,2,2,0,Furnished,48,65000
3786,3 BHK House for Rent in Kasturi Nagar Bangalore,Kasturi Nagar,Bangalore,2400,3,3,0,Semi-Furnished,31,75000
3787,"3 BHK Flat for Rent in Ekta Meadows, Borivali East, Mumbai",Borivali East,Mumbai,1200,3,3,0,Semi-Furnished,61,73000
3788,1 BHK House for Rent in Molar band Extension New Delhi,Molarband Extension,New Delhi,450,1,1,0,Unfurnished,9,4200
3789,"2 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,850,2,2,0,Semi-Furnished,39,33000
3790,"2 BHK Flat for Rent in Sonchapha, Wagholi, Pune",Wagholi,Pune,650,2,2,2,Semi-Furnished,23,15000
3791,1 BHK House for Rent in Jaripatka Nagpur,Jaripatka,Nagpur,1500,1,1,2,Unfurnished,6,9000
3792,2 BHK House for Rent in Narendra Nagar Nagpur,Narendra Nagar,Nagpur,1250,2,2,0,Semi-Furnished,12,15000
3793,"2 BHK Flat for Rent in Parekh Nagar Kandivali West, Mumbai",Parekh Nagar Kandivali West,Mumbai,750,2,2,0,Furnished,73,55000
3794,"1 BHK Flat for Rent in Anand Nagar Dahisar East, Mumbai",Anand Nagar Dahisar East,Mumbai,450,1,1,0,Semi-Furnished,56,25000
3795,"2 BHK Flat for Rent in Golf Course Road, New Delhi",Golf Course Road,New Delhi,1100,2,2,2,Semi-Furnished,45,50000
3796,2 BHK House for Rent in Pimpri Chinchwad Pune,Pimpri Chinchwad,Pune,900,2,2,0,Semi-Furnished,24,21500
3797,"2 BHK Flat for Rent in Megapolis Serenity, Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, Pune",Hinjewadi Phase 3,Pune,698,2,2,0,Semi-Furnished,36,25000
3798,"3 BHK Flat for Rent in Naganathapura Rayasandra, Bangalore",Naganathapura,Bangalore,1150,3,3,0,Semi-Furnished,30,35000
3799,"2 BHK Flat for Rent in Gandhi Vihar, Gopalpur Village, New Delhi",Gandhi Vihar,New Delhi,500,2,1,2,Unfurnished,18,9000
3800,"2 BHK Flat for Rent in Deonar Govandi East, Mumbai",Deonar,Mumbai,800,2,2,0,Furnished,100,80000
3801,"1 BHK Flat for Rent in Ranawat Heights, Mira Road Area, Mumbai",Mira Road,Mumbai,400,1,1,2,Furnished,53,21000
3802,"2 BHK Flat for Rent in Chandapura, Bangalore",Chandapura,Bangalore,900,2,2,0,Furnished,23,21000
3803,"2 BHK Flat for Rent in Nandanvan, Nagpur",Nandanvan,Nagpur,800,2,2,2,Unfurnished,19,15000
3804,1 BHK House for Rent in Erandwane Pune,Erandwane,Pune,250,1,1,0,Semi-Furnished,36,9000
3805,1 BHK House for Rent in Wardhaman Nagar Nagpur,Wardhaman Nagar,Nagpur,500,1,1,0,Semi-Furnished,14,7000
3806,"2 BHK Flat for Rent in DDA Oriental Apartment, Sector 9 Rohini, New Delhi",Sector 9 Rohini,New Delhi,900,2,2,0,Semi-Furnished,24,22000
3807,"2 BHK Flat for Rent in Paschim Vihar, New Delhi",Paschim Vihar,New Delhi,1450,2,2,2,Semi-Furnished,24,34500
3808,"4 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,3940,4,5,2,Furnished,63,250000
3809,"2 BHK Flat for Rent in Kohinoor City Phase 2, Premier Residencies, Mumbai",Premier Residencies,Mumbai,874,2,2,0,Unfurnished,80,70000
3810,"4 BHK Flat for Rent in Rajouri Garden, New Delhi",Rajouri Garden,New Delhi,27,4,4,0,Semi-Furnished,29,85000
3811,"3 BHK Flat for Rent in Lullanagar, Pune",Lulla Nagar,Pune,1160,3,3,0,Unfurnished,39,45000
3812,"2 BHK Flat for Rent in Yashwin Orizzonte, EON Free Zone, Kharadi, Pune",EON Free Zone,Pune,750,2,2,3,Semi-Furnished,44,33000
3813,1 BHK House for Rent in Dange Chowk Road Pune,Dange Chowk,Pune,1000,1,1,0,Semi-Furnished,9,9000
3814,"1 BHK Flat for Rent in New Hind Mill, Ghodapdeo, Mumbai",Ghodapdeo,Mumbai,335,1,1,0,Semi-Furnished,69,23000
3815,"2 BHK Flat for Rent in Chattarpur, New Delhi",Chhattarpur,New Delhi,750,2,2,0,Semi-Furnished,23,17500
